식품명,식품대분류명,대표식품명,식품중분류명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),인(mg),칼륨(mg),나트륨(mg),식품중량
꽃게탕,찌개 및 전골류,꽃게탕,꽃게,100g,17,1.86,0.41,1.44,0.95,25,99,273,600g
낙지전골,찌개 및 전골류,낙지전골,낙지,100g,51,6.5,1.14,3.72,0,68,165,484,300g
동태국,찌개 및 전골류,동태국,동태,100g,17,2.42,0.16,1.4,0,42,107,224,400g
동태찌개,찌개 및 전골류,동태찌개,동태,100g,44,6.11,1.37,1.72,0.13,87,174,273,200g
돼지고기찌개,찌개 및 전골류,돼지고기찌개,돼지,100g,48,6.25,1.51,2.26,0.13,56,156,255,300g
된장찌개,찌개 및 전골류,된장찌개,된장,100g,46,3.38,1.63,4.44,0,55,151,318,200g
된장찌개_냉이,찌개 및 전골류,된장찌개,냉이,100g,19,1.17,0.31,2.91,0.55,25,110,174,350g
된장찌개_달래,찌개 및 전골류,된장찌개,달래,100g,35,3.18,0.79,3.81,0.41,63,216,570,350g
된장찌개_두부,찌개 및 전골류,된장찌개,두부,100g,41,3.25,1.96,2.56,0.99,60,179,478,270g
된장찌개_바지락,찌개 및 전골류,된장찌개,바지락,100g,23,2.88,0.72,1.18,0.56,31,138,406,300g
두부찌개_고추장,찌개 및 전골류,두부찌개,두부,100g,52,4.01,2.63,3.18,0.8,74,222,181,500g
두부찌개_소고기_고추장,찌개 및 전골류,두부찌개,소,100g,58,4.56,1.42,6.73,0.17,57,165,195,280g
두부찌개_소고기_된장,찌개 및 전골류,두부찌개,소,100g,55,5.71,1.98,3.5,0.72,51,123,297,300g
매운탕_대구,찌개 및 전골류,매운탕,대구,100g,22,4.49,0.4,0.19,0,70,104,250,600g
매운탕_해물,찌개 및 전골류,매운탕,해물,100g,35,4.85,0.64,2.51,0.45,63,140,368,600g
버섯전골,찌개 및 전골류,버섯전골,버섯,100g,78,5.14,4.24,4.78,1.18,51,129,146,300g
부대찌개,찌개 및 전골류,부대찌개,돼지,100g,123,5.86,6.49,10.27,0.18,86,170,239,600g
샤브샤브_버섯,찌개 및 전골류,샤브샤브,버섯,100g,30,3.88,0.9,1.57,0.53,19,43,51,350g
닭다리튀김_간장,튀김류,닭다리튀김,닭,100g,323,18.86,19.6,17.88,3.71,209,324,410,200g
닭튀김_날개,튀김류,닭튀김,닭,100g,257,17.17,16.27,10.49,0,183,232,269,200g
떡강정,튀김류,떡강정,쌀,100g,249,3.79,4.72,47.89,5.34,53,91,446,200g
미역튀각,튀김류,미역튀각,미역,100g,443,13.24,33.9,21.14,11.36,224,282,5223,50g
탕수육_새우,튀김류,탕수육,새우,100g,116,6.65,4.2,13.02,6.44,130,81,492,200g
가지나물,나물·숙채류,가지나물,가지,100g,36,1.42,1.5,4.18,2.34,45,222,274,50g
고구마줄기나물,나물·숙채류,고구마줄기나물,고구마줄기,100g,83,0.98,7,4.1,0,29,122,179,50g
고사리나물무침,나물·숙채류,고사리나물무침,고사리,100g,90,3.78,5.52,6.28,0.5,63,90,441,50g
고춧잎나물무침,나물·숙채류,고춧잎나물무침,고추,100g,88,4.41,4.69,7.14,1.51,73,397,797,90g
깻잎나물,나물·숙채류,깻잎나물,깻잎,100g,78,2.68,5.18,5.04,2.04,53,522,362,50g
냉이나물,나물·숙채류,냉이나물,냉이,100g,111,5.02,3.07,15.7,10.45,95,298,718,60g
도라지나물무침,나물·숙채류,도라지나물무침,도라지,100g,130,2.48,7.52,13.12,0.9,53,135,411,50g
돌나물무침,나물·숙채류,돌나물무침,돌나물,100g,69,1.66,3.18,8.3,5.26,34,149,360,50g
머위대나물무침,나물·숙채류,머위대나물무침,머위대,100g,58,3.96,2.56,4.76,0.34,76,191,363,50g
무나물무침,나물·숙채류,무나물무침,무,100g,21,0.62,0.46,3.64,3.3,11,188,352,50g
