,식품명,재료,분량,
0,크림스프,버터,11g,
1,크림스프,밀가루,11g,
2,크림스프,양파,40g,
3,크림스프,버터,2g,
4,크림스프,생크림,25g,
5,크림스프,우유,13g,
6,크림스프,소금,1g,
7,크림스프,후추,소량,
8,양상추샐러드+발사믹드레싱,양상추,30g,
9,양상추샐러드+발사믹드레싱,치커리,5g,
10,양상추샐러드+발사믹드레싱,오이,10g,
11,양상추샐러드+발사믹드레싱,적양배추,5g,
12,양상추샐러드+발사믹드레싱,당근,5g,
13,양상추샐러드+발사믹드레싱,식초,2g,
14,양상추샐러드+발사믹드레싱,설탕,5g,
15,비트무피클,무,30g,
16,비트무피클,식초,3g,
17,비트무피클,그린스위트,1.5g,
18,비트무피클,피클링스파이스,소량,
19,비트무피클,비트,5g,
20,가래떡+꿀,가래떡,1줄,
21,가래떡+꿀,꿀,30g,
22,소보로비빔밥+비빔밥고추장,쌀밥,210g,
23,소보로비빔밥+비빔밥고추장,콩나물,40g,
24,소보로비빔밥+비빔밥고추장,무,40g,
25,소보로비빔밥+비빔밥고추장,고구마순,40g,
26,소보로비빔밥+비빔밥고추장,당근,5g,
27,소보로비빔밥+비빔밥고추장,애호박,40g,
28,소보로비빔밥+비빔밥고추장,표고버섯,40g,
29,소보로비빔밥+비빔밥고추장,계란,1개,
,소보로비빔밥+비빔밥고추장,식용유,소량,
30,소보로비빔밥+비빔밥고추장,고추장,14g,
31,소보로비빔밥+비빔밥고추장,케찹,3g,
32,소보로비빔밥+비빔밥고추장,물엿,2g,
33,소보로비빔밥+비빔밥고추장,물,3.5g,
34,소보로비빔밥+비빔밥고추장,참기름,,
35,소보로비빔밥+비빔밥고추장,양파,,다진
36,소보로비빔밥+비빔밥고추장,대파,,다진
37,소보로비빔밥+비빔밥고추장,마늘,소량,다진
38,오이냉국,오이,70g,
39,오이냉국,양파,20g,
40,오이냉국,마늘,소량,다진
41,오이냉국,식초,5g,
42,오이냉국,그린스위트,소량,
43,오이냉국,홍초,5g,
44,새송이버섯구이,새송이버섯,70g,
45,새송이버섯구이,식용유,,
46,레몬양파피클,양파,30g,
47,레몬양파피클,레몬,5g,
48,레몬양파피클,식초,3g,
49,레몬양파피클,그린스위트,1.5g,
50,레몬양파피클,피클링스파이스,소량,
51,황태채두부무국,황태,8g,채
52,황태채두부무국,두부,40g,
53,황태채두부무국,무,30g,
54,황태채두부무국,참기름,3g,
55,황태채두부무국,소금,1g,
56,황태채두부무국,실파,5g,
57,잡채,당면,25g,
58,잡채,쇠고기,20g,채
59,잡채,느타리버섯,10g,
60,잡채,애호박,10g,
61,잡채,당근,10g,
62,잡채,양파,15g,
63,잡채,마늘,1g,다진
64,잡채,설탕,2g,
65,잡채,참기름,5g,
66,양배추야채전,양배추,60g,
67,양배추야채전,전분,10g,
68,양배추야채전,식용유,,
69,저염물김치,배추,45g,
70,저염물김치,무,5g,
71,저염물김치,당근,1g,
72,저염물김치,마늘,,다진
73,저염물김치,생강,소량,
74,저염물김치,배,,
75,저염물김치,사과,소량,
76,저염물김치,그린스위트,소량,
77,배추맑은국,배추,70g,
78,배추맑은국,풋고추,5g,
79,배추맑은국,마늘,1g,다진
80,미니함박스테이크+데미소스,당근,2.5g,
81,미니함박스테이크+데미소스,양파,2.5g,
82,미니함박스테이크+데미소스,돼지고기,20g,갈은것
83,미니함박스테이크+데미소스,쇠고기,20g,갈은것
84,미니함박스테이크+데미소스,빵가루,10g,
85,미니함박스테이크+데미소스,후추,소량,
86,미니함박스테이크+데미소스,식용유,,
86,미니함박스테이크+데미소스,데미그라스소스,20g,
87,미니함박스테이크+데미소스,우스터소스,2.5g,
88,미니함박스테이크+데미소스,물,5g,
89,브로를리볶음,브로콜리,50g,
90,브로를리볶음,식용유,,
91,소고기숙주볶음밥,쌀밥,210g,
92,소고기숙주볶음밥,숙주,50g,
93,소고기숙주볶음밥,대파,5g,
94,소고기숙주볶음밥,식용유,,
95,소고기숙주볶음밥,쇠고기,20g,채
96,소고기숙주볶음밥,후추,소량,
97,소고기숙주볶음밥,간장,5g,
98,미역국,건미역,3g,
99,미역국,참기름,3g,
100,미역국,마늘,1g,다진
101,도라지나물,도라지,50g,
102,도라지나물,참기름,3g,
103,도라지나물,마늘,1g,다진
104,마늘쫑볶음,마늘쫑,50g,
105,마늘쫑볶음,식용유,,
106,적채피클,적양배추,30g,
107,적채피클,식초,3g,
108,적채피클,그린스위트,1.5g,
109,적채피클,피클링스파이스,소량,
110,비빔국수+삶은계란+초고추장소스,소면,90g,
111,비빔국수+삶은계란+초고추장소스,애호박,20g,
112,비빔국수+삶은계란+초고추장소스,표고버섯,20g,
113,비빔국수+삶은계란+초고추장소스,식용유,,
114,비빔국수+삶은계란+초고추장소스,콩나물,20g,
115,비빔국수+삶은계란+초고추장소스,계란,1/2개,
116,비빔국수+삶은계란+초고추장소스,참기름,소량,
116,비빔국수+삶은계란+초고추장소스,고추장,10g,
117,비빔국수+삶은계란+초고추장소스,식초,5g,
118,비빔국수+삶은계란+초고추장소스,설탕,5g,
119,비빔국수+삶은계란+초고추장소스,대파,,다진
120,비빔국수+삶은계란+초고추장소스,마늘,소량,다진
121,열무맑은국,열무,50g,
122,열무맑은국,홍고추,1g,
123,열무맑은국,마늘,1g,다진
124,수제김말이튀김,실곤약,5g,
125,수제김말이튀김,당근,1.5g,
126,수제김말이튀김,쪽파,1.5g,
127,수제김말이튀김,김,1/2장,"구운, 무염"
128,수제김말이튀김,밀가루,2.5g,
129,수제김말이튀김,식용유,,
130,무초절이,무,70g,
131,무초절이,설탕,4g,
132,무초절이,식초,8g,
133,소고기야채죽+국간장소스,쌀,40g,
134,소고기야채죽+국간장소스,당근,10g,
135,소고기야채죽+국간장소스,양파,10g,
136,소고기야채죽+국간장소스,애호박,10g,
137,소고기야채죽+국간장소스,쇠고기,20g,갈은것
138,소고기야채죽+국간장소스,참기름,3g,
138,소고기야채죽+국간장소스,국간장,,
139,소고기야채죽+국간장소스,물,5.5g,
140,소고기야채죽+국간장소스,참기름,0.5g,
141,소고기야채죽+국간장소스,홍초,,다진
142,소고기야채죽+국간장소스,청초,,다진
143,소고기야채죽+국간장소스,양파,소량,다진
144,당면국,당면,15g,
145,당면국,당근,3g,
146,당면국,양파,5g,
147,당면국,대파,4g,
148,당면국,후추,소량,
149,야채밀전병,오이,30g,
150,야채밀전병,당근,30g,
151,야채밀전병,표고버섯,30g,
152,야채밀전병,식용유,,
153,야채밀전병,밀가루,15g,
154,깻잎찜,깻잎,10g,
155,깻잎찜,당근,2g,
156,새송이버섯피클,새송이버섯,30g,
157,새송이버섯피클,식초,3g,
158,새송이버섯피클,그린스위트,1.5g,
159,새송이버섯피클,피클링스파이스,소량,
160,카스테라잡쌀경단,카스테라,20g,
161,카스테라잡쌀경단,찹쌀가루,50g,
162,저염김밥,계란,1개,
163,저염김밥,소금,1g,
164,저염김밥,당근,15g,
165,저염김밥,오이,10g,
166,저염김밥,우엉,10g,
