,레시피명,재료,방법,열량,탄수화물,단백질,지방,나트륨
0,새우 두부 계란찜,"새우두부계란찜연두부 75g(3/4모), 칵테일새우 20g(5마리), 달걀 30g(1/2개), 생크림 13g(1큰술), 설탕 5g(1작은술), 무염버터 5g(1작은술)고명시금치 10g(3줄기)","['손질된 새우를 끓는 물에 데쳐 건진다.a', '연두부, 달걀, 생크림, 설탕에 녹인 무염버터를 믹서에 넣고 간 뒤 새우(1)를 함께 섞어 그릇에 담는다.b', '시금치를 잘게 다져 혼합물 그릇(2)에 뿌리고 찜기에 넣고 중간 불에서 10분 정도 찐다.c']",220,3,14,17,99
1,치커리샐러드와 올리브 마늘 소스,"*치커리 샐러드 : 치커리 30g(10줄기), 적양배추 15g(5×3cm), 양파 10g(2×1cm), 당근 5g(3×1×1cm)*올리브마늘 드레싱 : 올리브유 10g(2작은술), 식초 5g(1작은술), 설탕 5g(1작은술), 마늘 5g(1쪽)","['올리브유, 식초, 설탕, 다진 마늘을 섞어 거품기로 충분히 저어주어 올리브마늘 드레싱을 만든다.', '치커리는 싱싱하게 찬물에 담갔다가 물기를 뺀 후 한입 크기로 자르고, 적양배추, 양파, 당근은 곱게채를 썬다.', '접시에 준비한 치커리, 적양배추, 양파, 당근을 담고 올리브마늘 드레싱을 뿌린다.']",170,13,3,12,74
2,스트로베리 샐러드,"스트로베리 샐러드딸기 70g(7개), 플레인요거트 85g(1개), 양상추 70g(2장), 메추리알 30g(3개), 블루베리 15g(1큰술), 식초 약간, 소금 약간","['찬물이 담긴 냄비에 식초, 소금을 넣고 메추리알을 삶는다. 물이 끓어오르면 5분 정도 더 삶아 찬물에 헹군 후 껍질을 벗기고 반으로 자른다.', '딸기를 흐르는 물에 가볍게 씻어 꼭지를 제거한 후 물기를 빼고 반으로 자른다.', '양상추는 찬물에 담갔다가 물기를 빼고 한입 크기로 찢은 후 접시에 양상추, 딸기, 블루베리, 메추리알을 담고 플레인요거트를 끼얹는다.']",195,30,7,5,138
3,시금치 우유 소스와 그린매쉬드포테이토,"*그린매쉬드포테이토 : 감자 80g(1/2개), 시금치우유 소스 5g(1작은술), 아몬드 2g(1알), 설탕 2g(1/3작은술), 크랜베리 3g, 치커리 약간*시금치우유 소스 : 시금치 10g, 우유 10g(2작은술)","['시금치는 끓는 소금물에 데쳐 찬물에 헹구어 물기를 짜고 우유를 넣고 블렌더에 곱게 갈아 체에 거른다.', '껍질 벗긴 감자는 찜기에 넣어 20분 정도 삶고 꺼내서 으깨고, 아몬드는 잘게 다지며, 치커리는 곱게 다진다.', '으깬 감자, 다진 치커리, 시금치 우유소스, 설탕을 넣고 섞어 접시에 담고 아몬드, 크랜베리를 올리고 시금치우유 소스를 곁들인다.']",155,32,5,1,24
4,버섯구이와 두부타르타르 소스,"*버섯구이 : 새송이버섯 70g(7개), 올리브유 10g(2작은술)*곁들임 : 치커리 10g(3줄기)*두부타르타르 소스 : 연두부 30g(1/4모), 다진 양파 10g(2작은술), 다진 오이피클 10g(2작은술), 올리브유 2g(1/3작은술), 식초 5g(1작은술), 레몬즙 3g(2/3작은술), 머스터드 3g(2/3작은술), 꿀 2g(1/3작은술), 흰 후추 약간","['곱게 다진 양파와 오이피클은 물기를 짠다.', '연두부에 다진 양파, 다진 오이피클, 올리브유, 머스터드, 후추, 꿀, 식초, 레몬즙을 넣어 두부타르타르 소스를 만든다.', '새송이버섯은 0.5cm 두께로 썰고 프라이팬에 노릇하게 구워준 후 접시에 새송이버섯과 치커리를 담고 소스를 곁들인다.']",150,18,8,5,133
5,구운채소와 간장레몬 소스,"*구운채소 : 가지 20g(3cm), 호박 50g(1/3개), 새송이버섯 15g(3개), 양파 15g(1/8개), 발사믹크레마 15g(1큰술), 빨강 파프리카 3g(3×1cm), 노랑 파프리카 3g(3×1cm), 청피망 3g(3×1cm), 올리브유 약간*간장 레몬 소스 : 저염간장 5g(1작은술), 식초 15g(1큰술), 설탕 10g(1큰술), 레몬즙 5g(1작은술)","['저염간장, 식초, 레몬즙, 설탕을 혼합하여 간장레몬 소스를 만든다.', '호박, 가지, 새송이버섯은 3cm 길이로 자른 후 얇은 편으로 채 썰고, 양파, 파프리카, 피망은 호박 길이로 썬다.', '가지, 호박, 새송이버섯, 양파, 파프리카, 피망에 올리브유를 바르고 달궈진 그릴 팬에 구운 후 접시에 담고 발사믹 크레타를 뿌리고 간장레몬 소스를 곁들인다.']",175,19,4,9,38
6,브로콜리 컬리플라워 샐러드와 두유 요거트 소스,"*브로콜리컬리플라워 샐러드 : 브로콜리 40g(1/5송이), 컬리플라워 40g(1/3송이), 적양파 10g(2×1cm), 강낭콩 5g(1작은술), 건포도 5알, 호두 1/2알, 소금 약간*두유요거트 소스 : 두유 50g(3⅓큰술), 플레인요거트 20g(1⅓큰술), 레몬즙 5g(1작은술), 설탕 약간","['두유에 플레인요거트와 레몬즙, 설탕을 넣고 잘 섞어 두유요거트 소스를 만든다.', '강낭콩은 물에 불린 후 콩과 물을 1:2.5로 넣고 20~25분 삶아 건지고 브로콜리와 컬리플라워는 한입 크기로 썰어 끓는 소금물에 살짝 데쳐 찬물에 헹궈 물기를 뺀다.', '접시에 데친 브로콜리와 컬리플라워, 삶은 강낭콩, 채썬 적양파, 다진 호두, 건포도를 담고 두유요거트 소스를 곁들여 낸다.']",210,30,9,6,79
7,오렌지와 당근 만남주스,"오렌지 당근펀치당근 100g(1/2개), 오렌지 100g(1/2개)","['오렌지는 깨끗이 씻어 껍질을 벗긴다.', '당근은 깨끗이 씻어 작은 토막으로 썬다.', '당근, 오렌지, 물(50ml)을 믹서에 곱게 간다.', '믹서에 갈아낸 주스는 고운 체로 거른다.', '주스를 살얼음이 생길 만큼 시원하게 냉동한다.', '컵에 담아 마무리한다.']",60,14,1,0,76
8,된장 두부찌개,"두부 320g(1모), 쌀뜨물 300g(1½컵), 돼지고기 100g, 김치 140g, 된장 20g(1½큰술), 청양고추 10g(1/2개), 홍고추 5g(1/4개),대파 10g(2cm), 고춧가루 5g(1작은술)","['두부에 쌀뜨물을 넣고 갈아준다.', '돼지고기는 썰고 김치는 물에 씻어 양념을 제거하고 3×3cm로 썬다.', '냄비에 돼지고기와 김치를 함께 볶은 후, 망에 거른 된장과 1의 두부, 고춧가루, 청양고추, 홍고추를 넣어 끓이다가 대파를 넣어 완성한다.']",77,2,7,4,124
9,부대된장찌개,"다시마 1g, 두부 10g, 떡국 떡 10g, 스팸(마일드) 10g, 다진 마늘 5g, 무 20g, 김치 15g, 소시지 10g(1/2개), 우민찌 5g(1작은술), 양파 5g, 저염된장 15g(1큰술), 베이컨 5g, 대파 5g, 청양고추 5g, 홍고추 1g","['김치, 베이컨, 스팸, 소시지, 양파, 두부, 무는 두께 0.5cm로 썬다.', '다시마와 물을 끓여 다시마물을 만든다.', '냄비에 소시지, 베이컨, 두부, 스팸, 무, 우민찌, 김치, 다시마물 300g을 넣어 끓인 후 저염된장, 양파, 대파, 다진 마늘, 떡국 떡을 넣고 재료가 다 익으면 홍고추와 청양고추를 넣어 완성한다.']",72,4,5,3,191
