,레시피명,재료,방법,열량,탄수화물,단백질,지방,나트륨
0,애호박 순대,"두부(8g), 생새우(45g), 팽이버섯(3g), 당근(3g), 깻잎(1g), 파프리카(3g), 다진 소고기(8g), 감자전분(50g), 달걀흰자(60g), 애호박(1개), 저염 간장(1g), 식초(1g), 적양파(2g)","['저염 간장, 식초, 물(10㎖)을 섞은 뒤 얇게 채 썬 적양파를 넣어 30분간 숙성해 양파장아찌를 만든다.', '두부와 생새우, 팽이버섯, 당근, 깻잎, 파프리카는 믹서에 넣어 곱게 간다.', '중간 불로 달군 팬에 다진 소고기를 살짝 볶은 뒤 곱게 간 재료와 감자전분(45g), 달걀흰자와 섞어 소를 만든다.', '애호박은 양끝을 자른 뒤 속을 파내고 안쪽에 감자전분(5g)을 고루 묻힌다.', '애호박에 소를 채운 뒤 찜기에 넣어 8분간 찐다.', '애호박 순대를 1cm 두께로 썰어 그릇에 담고 양파장아찌를 올린다.']",165.4,30.9,6.7,1.7,129.2
1,버터치킨카레,"[ 2인분 ] 양파(1개), 당근(½개), 토마토(2개), 닭고기(가슴살, 다릿살 각 200g), 생크림(200g), 파프리카(빨강, 노랑 각 1개), 바게트(약간), 월계수잎(1장), 통후추(5알), 정향(1개), 요거트(1컵), 가람마살라(2Ts), 코리앤더파우더(2Ts), 커민파우더(2Ts), 다진 마늘(3Ts), 파프리카가루(2Ts), 소금(1ts), 버터(2Ts)","['양파, 당근, 토마토, 파프리카는 한입 크기로 썰고, 닭고기는 한입 크기로 썬다. ', '닭고기는 요거트(1컵), 가람마살라(1Ts), 코리앤더파우더(1Ts), 커민파우더(1Ts), 다진 마늘(1Ts), 파프리카가루(1Ts), 소금(0.5ts)에 버무려 15분간 재운다. ', '중간 불로 달군 팬에 버터(2Ts)를 녹이고, 다진 마늘(1Ts), 양파, 당근, 토마토를 넣어 5분간 볶는다. ', '물(⅓컵), 육수 재료, 생크림을 넣어 끓이고, 당근이 익으면 핸드 믹서로 곱게 간 뒤 체로 거른다. ', '갈아 낸 카레를 냄비에 붓고, 가람마살라 (1Ts), 코리앤더파우더(1Ts), 커민파우더, (1Ts), 다진 마늘(1Ts), 파프리카가루(1Ts), 소금(0.5ts)을 넣어 걸쭉하게 끓인다. ', '꼬치에 파프리카와 닭을 번갈아 끼운 뒤 중간 불로 달군 팬에 닭이 익을 때까지 굽고, 그릇에 카레를 담은 뒤 닭꼬치와 바게트를 곁들여 마무리한다.']",493.1,22.4,34.3,29.6,204.5
2,소고기찜과 검은콩수제비,"[ 2인분 ] 팽이버섯(½봉), 느타리버섯(½줌), 알배추(½개), 쪽파(3대), 가지(½개), 당근(¼개), 흰다리새우(7마리), 관자(4개), 삶은 검은콩(½컵), 소고기(불고기용 부채살, 200g), 숙주(⅓줌), 달걀노른자(2개), 쑥갓(⅓줌), 미니 단호박(½개), 생표고버섯(5개), 청경채(2개), 소금(0.3Ts), 통밀가루(¼컵), 돼지감자가루(¼컵), 현미쌀가루(¼컵), 저염 간장(2Ts), 맛술(0.3Ts), 꿀(1Ts), 레몬즙(1Ts), 다진 쪽파(1Ts), 다진 청양고추(0.5Ts)","['팽이버섯과 느타리버섯은 밑동을 잘라 낱낱이 가르고, 알배추는 한입 크기로 썰고, 쑥갓과 쪽파는 한입 크기로 썬다. ', '가지와 당근은 어슷 썰고, 단호박은 씨 제거 후 7~8쪽으로 썰고, 표고버섯은 별모양 칼집을 내고, 새우는 깨끗하게 씻고, 관자는 한입 크기로 썬다. ', '믹서에 삶은 검은콩과 물(1컵)을 넣어 갈고, 볼에 담은 뒤 검은콩 수제비 반죽 재료와 고루 섞어 치대고, 냉장실에서 30분간 숙성한다. ', '불고기용 소고기를 펼치고, 팽이버섯과 쪽파를 위에 올려 돌돌 만다. ', '대나무 찜기에 손질한 채소, 해산물,  숙주 순으로 깔아준다. ', '그 위에 고기 버섯말이를 올려 중간 불에서 10분간 쪄내고, 달걀노른자와 양념장을 곁들여 마무리한다.']",264.2,16.1,30.8,8.5,437.1
3,케이준 스타일 닭고기 요리,"닭가슴살 100g, 식용유 8g, 파프리카가루 2g, 키엔페퍼 1g, 양파가루 1g, 마늘가루 1g, 후추 1g, 흰후춧가루 1g, 오레가노마른것 0.5g, 타임 마른것 0.5g, 바질마른것 1g, 로즈마리마른것 0.5g *선택:황설탕 1g","['식용유를 제외한 모든 향신료를 섞어준다.', '닭가슴살에 식용유를 바른다.', '1의 향신료를 닭가슴살의 한면에만 잘 발라준다.', '가열된 식용유를 두르고 닭가슴살의 향신료 묻는 면이 팬에 닿도록 놓는다.', '앞 뒷면이 노릇하게 되도록 구워준다.', '그릇에 담아 마무리 한다.']",303.0,4.2,19.8,22.0,62
4,헝가리안 폭찹,"돼지등심 100g, 물 50g, 사워크림 30g, 실파다진것 4g [소스소개]양념:파프리카가루 3g, 머스터드 씨드 2.5g, 코리앤더 씨드 1g, 양파즙 13g, 마늘가루 1g","['작은 불에 양념 재료를 넣고 섞어 절반은 돼지고기에 밑간한다.', '달라붙지 않는 팬을 중간불고 가열한다.', '양념한 돼지고기의 앞·뒷면을 익혀 고기의 중간이 핑크빛이 날 때까지 익히고 그릇에 옮겨담아 뚜껑을 덮어둔다.', '강한불에 팬을 놓고 물 1컵을 부어 팬 바닥에 남아 있는 성분들을 녹여 2분정도 끓인다.', '물이 1/4컵으로 줄어들면 불을 낮추고 사워크림을 넣고 거품기로 저으면서 끓지 않게 2~3분 간 조리한다.', '접시에 돼지고기 폭찹을 담고 스푼으로 소스를 위에 얹고 실파를 뿌려준다.']",314.1,3.5,18.6,20.6,110
5,구운 닭고기 샐러드와 저나트륨 과일 드레싱,"닭가슴살 60g, 양상추 18g, 방울토마토 18g, 브로컬리 20g [소스소개] 저나트륨과일드레싱:파인애플통조림 40g, 키위 20g, 사과 10g, 양파 4g, 올리브오일 6g, 레몬즙 3.2g, 설탕 3.2g, 소금 0.4g","['닭가슴살을 170℃의 오븐에서 20분간 구운 후 잘게 찢는다.', '양상추는 한 잎 크기로 뜯어 차가운 물에 담갔다가 물기를 뺀다.', '방울토마토는 꼭지를 뗀 후 반으로 가른다.', '브로콜리는 송이송이 떼어 끓는 물에 데친다.', '저나트륨 과일드레싱 재료를 믹서에 넣고 곱게 간다.', '준비된 재료를 한데 섞고 저나트륨 과일드레싱을 곁들인다.']",246.5,17.3,13.1,14.5,175
6,돼지고기 수육 부추부침,"돼지고기 삼겹살 40g, 대파 5g, 마늘 5g, 생강 1.5g, 통후추 0.5g, 영양부추 10g,양파 2.5g, 무 15g, 소금 0.1g, 식초 1.5g, 설탕 1g [소스소개] 매운소스:고추기름 1g, 간장 2g, 발사믹식초 10g, 설탕 5g 저나트륨 두부 된장소스:두부 15g, 된장 2g, 청·홍고추다진것 1g, 물 2.5g","['돼지고기는 덩어리로 준비해 충분히 무르도록 대파, 마늘, 생강, 통후추를 넣어 삶는다.', '부추와 양파는 3cm 길이로 썰어 매운 소스 양념에 가볍게 무친다.', '무는 채썰어 소금, 설탕, 식초에 절였다가 꼭 짠다.', '삶은 돼지고기를 건져 얇게 저민다.', '저민 돼지고기와 양념한 부추, 무를 곁들여 접시에 담는다.', '두부를 곱게 다져 분량의 소스 재료와 섞어 저나트륨 두부 된장소스를 만들어 수육과 함께 낸다.']",202.4,10.3,9.4,13.2,257
7,쇠고기 채소볶음,"쇠고기 40g, 생표고버섯 16g, 양송이버섯 9g, 애느타리버섯 12g, 흰목이버섯 0.4g, 목이버섯 0.4g, 샐러리 4g, 홍피망 8g, 정종 2g, 간장 2g, 육수 10g, 후춧가루 0.2g, 참기름 1g, 식용유 9g [소스소개]쇠고기밑간양념:전분 2g, 달걀 2g","['소고기는 굵게 채썬다.', '채썬 소고기에 전분과 달걀을 넣고 밑간을 한다.', '버섯과 채소는 씻은 후 0.3cm 두께로 채 썬다.', '후라이팬에 소고기를 넣고 볶는다.', '채소와 버섯을 넣고 한번 더 볶는다.', '육수에 간장, 정종, 후춧가루를 넣고 끓이다가 마지막에 참기름을 넣어 낸다.']",191.0,4.7,9.4,14.8,219
8,낙지볶음면,"낙지 20g, 쭈꾸미 20g, 생면 80g, 배추 20g, 양파 13g, 느타리버섯 13g, 표고버섯 13g [소스소개] 볶음소스:청피망 8g, 홍피망 5g, 청양고추 15g, 대파 13g, 굴소스 1g, 고춧가루 2g, 매운고춧가루 2g, 소금 0.2g","['낙지와 쭈꾸미는 각각 소금물에 씻어 손질한다.', '낙지는 5cm 길이로 자른다.', '채소들은 각각 10cm 길이로 얇게 채 썬다.', '소스를 만든다.', '생면은 끓는 물에 데친다.', '가열된 팬에 식용유를 넣고 채소를 볶다가 면과 소스를 넣고 충분히 볶는다.']",154.6,27.6,9.8,0.9,270
9,지중해 소스를 곁들인 도미스테이크,"도미 100g, 후춧가루 0.1g, 밀가루 4g, 식용유 12g, 화이트와인 50g, 물 50g, 파슬리다진것 1g[소스소개] 지중해소스:토마토 20g, 올리브 10g, 케이퍼 3g, 양파다진것 5g, 마늘다진것 2g, 토마토 15g, 바질 3g","['도미에 후춧가루와 밀가루를 묻혀 놓는다.', '토마토는 껍질을 벗겨 썰고 올리브는 0.8cm 주사위모양으로 썬다.', '팬에 식용유를 넣고 도미를 넣어 익히다가 화이트와인을 넣는다.', '소스 재료들과 물을 넣어 끓이면서 반으로 졸인다.', '도미는 건져내고 팬에 남은 소스에 다진 파슬리가루를 뿌린다.', '접시에 도미와 소스를 함께 곁들여 낸다.']",290.0,7.0,23.0,13.8,81
