카테고리,diet,name,weight,Kcal,Protein,Fat,Carbohydrate,Sugar,P,K,Na,ingredient,category,main_ingred,sauce
간식,R102_053000000-0001,가래떡+꿀,100,200.1,2.084,0.543,48.804,21.831,23.6,55.8,125.3,"'꿀': 30,'가래떡': 50",떡류,가래떡,꿀
간식,R101_009170000-0001,숭늉,100,196.5,3.4,0.1,43.4,0,37,42,3,'누룽지': 50,밥류,누룽지,
간식,R102_062210000-0001,야채밀전병,100,167.2,3.1665,10.309,17.8575,2.43,23.565,158.538,8.724,"'식용유': 10,'표고버섯': 30,'오이': 30,'당근': 30,'밀가루': 15",빵및과자류,밀가루|당근|오이|표고버섯,
간식,R102-055294500-0001,카스테라잡쌀경단,100,247.3,4.602,1.029,52.932,5.01,39.2,32.9,17.7,"'찹쌀가루': 50,'카스텔라': 20",떡류,카스텔라,
국&찌개,R105_209010000-0001,가지냉국,350,82.425,3.8297,0.30205,18.7439,9.7118,46.6676,262.836,1184.085,"'소금': 1,'쪽파': 5,'마늘': 2,'빨간 고추': 2,'가지': 70,'설탕': 1,'식초': 5",냉국,가지,식초
국&찌개,R105_216420000-0001,꽃게된장국,400,222.04,28.822,2.7208,18.4956,6.8544,307.24,820.526,1630.44,"'꽃게': 35,'된장': 5,'애호박': 25,'대파': 5,'무': 40,'마늘': 2,'풋고추': 5",된장국,꽃게,된장
국&찌개,R105_228000000-0001,닭다리삼계탕,900,1788.3,148.2183,92.0997,82.683,18.1755,1554.75,3536.55,6670.17,"'소금': 2,'닭다리': 80,'인삼': 8,'후추': 5,'대추': 5,'대파': 5,'마늘': 10",삼계탕,닭,마늘
국&찌개,R105_259000000-0001,당면국,500,384.5,2.6065,3.512,86.8445,2.8955,44.1815,392.121,80.2,"'후추': 5,'대파': 4,'양파': 5,'당근': 3,'당면': 15",당면국,당면,
국&찌개,R105_260000000-0001,대구탕,500,231.35,354.2465,12.571,16.2075,7.4765,404.693,1043.5245,2201.5,"'대구류': 40,'국간장': 5,'대파': 3,'양파': 10,'무': 40,'마늘': 1,'빨간 고추': 2",해물탕,대구,국간장
국&찌개,R105_216120000-0001,두부된장국,400,252.8,22.448,10.268,18.352,6.7,370.936,616.72,2064.8,"'된장': 10,'애호박': 20,'양파': 20,'두부': 40",된장국,두부,된장
국&찌개,R105_219420000-0001,무채국,350,54.18,1.9033,0.2996,11.73095,4.39355,28.784,225.715,1205.54,"'소금': 1,'무': 70,'마늘': 1",무국,무|홍합,
국&찌개,R105-222000000-0001,미소된장국,400,83.8,9.2444,3.3264,11.7888,4.9556,161.48,1024.2664,2794.12,"'된장': 10,'미역류': 3,'팽이버섯': 10,'대파': 2,'마늘': 1",된장국,팽이버섯,된장
국&찌개,R305-223170000-0001,바지락미역국,400,248.4,21.06,13.6132,10.6916,5.4732,259.76,988.76,2870.04,"'바지락': 35,'국간장': 5,'참기름': 3,'미역류': 3,'마늘': 1",미역국,바지락|미역,국간장
국&찌개,R105_225000000-0001,배추맑은국,400,52.92,4.14,0.1564,11.3008,5.2692,120.368,348.072,25.52,"'배추': 70,'마늘': 1,'풋고추': 5",배추국,배추,
국&찌개,R105-219240000-0001,쇠고기무국,100,101.29,4.1597,6.9775,5.5407,0.6205,52.95,223.24,368.59,"'소금': 1,'소고기': 20,'후추': 5,'참기름': 2,'대파': 3,'무': 30,'마늘': 2",무국,무|소고기,
국&찌개,R105_261000000-0001,열무맑은국,400,36.52,4.5828,0.5356,5.6504,0.2284,95.1472,680.14,96.16,"'열무': 50,'마늘': 1,'빨간 고추': 1",맑은국,열무,
국&찌개,R305-241000000-0001,오이냉국,350,99.6975,4.3995,0.66745,21.8624,8.71885,41.5485,256.8265,10.185,"'그린스위트': 1.5,'오이': 70,'양파': 20,'마늘': 2,'빨간 고추': 5,'식초': 5",냉국,오이,식초
국&찌개,R105_242010100-0001,오징어두부무국,500,373.85,42.786,11.166,26.2525,7.3245,642.3,1640.85,1780.2,"'소금': 1,'오징어류': 25,'무': 70,'마늘': 1,'초록 고추': 2,'빨간 고추': 2,'두부': 40",무국,무|오징어|두부,
국&찌개,R105-216330000-0001,우거지된장국,100,211.23,11.5895,3.4211,42.4742,18.0388,340.26,2520.76,622.33,"'된장': 10,'대파': 5,'우거지': 70,'마늘': 1",된장국,우거지,된장
국&찌개,R105_253390000-0001,청양초콩나물국,400,165.68,10.2492,10.9424,11.7108,1.184,70.6432,216,1356.12,"'소금': 1,'참기름': 2,'콩나물': 50,'마늘': 2,'청양고추': 2,'빨간 고추': 2",콩나물국,콩나물,청양고추
간식,R104_185000000-0001,크림스프,100,272.22,2.7314,21.3487,16.787,2.9174,43.788,150.8,365.65,"'소금': 1,'우유': 13,'후추': 5,'양파': 40,'버터': 2,'버터': 11,'생크림': 25,'밀가루': 11",스프,우유|양파,
국&찌개,R105_210000000-0001,파계란국,400,295.4,27.3372,17.41,3.898,0.786,392,263.046,1608.44,"'소금': 1,'달걀': 50,'대파': 5",달걀국,달걀,
국&찌개,R105_262000000-0001,팽이버섯맑은국,400,48.44,4.808,0.8588,14.2736,1.4084,149.68,648.446,5.04,"'팽이버섯': 40,'대파': 5,'마늘': 2",버섯국,팽이버섯,
국&찌개,R105_263000000-0001,표고버섯국,400,66.12,7.1436,0.8628,20.588,1.5496,41.4144,554.67,4.328,"'표고버섯': 40,'대파': 5,'마늘': 1,'빨간 고추': 2",버섯국,표고버섯,
국&찌개,R105_219000000-0001,황태채두부무국,350,360.745,37.59105,17.75445,10.55495,2.2645,415.016,607.62275,1318.905,"'소금': 1,'명태포': 8,'참기름': 3,'파': 5,'무': 30,'두부': 40",무국,무|두부|황태,
김치,R117_705000000-0001,레몬양파피클,30,5.0805,0.10155,0.00714,1.21347,0.5469,0.9753,6.177,0.318,"'피클링스파이스': 0,'그린스위트': 1.5,'레몬': 5,'양파': 30,'식초': 3",피클,양파|레몬,식초
김치,R117_706000000-0001,비트무피클,30,4.1205,0.0891,0.01524,0.94362,0.2064,1.1304,8.9865,2.073,"'피클링스파이스': 0,'그린스위트': 1.5,'비트': 5,'무': 30,'식초': 3",피클,비트|무,식초
김치,R117_709000000-0001,새송이버섯피클,30,3.7305,0.2682,0.02304,1.06272,0.02475,1.6416,24.4854,0.4824,"'피클링스파이스': 0,'그린스위트': 1.5,'큰느타리버섯(새송이버섯)': 30,'식초': 3",피클,새송이버섯,식초
김치,R117_710000000-0001,양파당근피클,30,5.0055,0.1062,0.00789,1.17987,0.6123,3.195,17.706,0.633,"'피클링스파이스': 0,'그린스위트': 1.5,'양파': 30,'당근': 5,'식초': 3",피클,양파|당근,식초
김치,R115_669020000-0001,저염물김치,200,51.29,1.7126,0.1042,12.1746,4.7358,49.7672,197.53,9.98,"'그린스위트': 1.5,'사과': 10,'배': 4,'생강': 5,'배추': 45,'무': 5,'마늘': 2,'당근': 1",김치,배추|사과,
김치,R117_707000000-0001,저염오이피클,30,3.1005,0.1008,0.00684,0.72522,0.13815,0.8721,5.8158,0.288,"'피클링스파이스': 0,'그린스위트': 1.5,'오이': 30,'식초': 3",피클,오이,식초
김치,R115_665000000-0001,저염와사비무깍두기,50,5.7175,0.146105,0.0294,1.288575,0.3672,7.2225,53.8745,37.6535,"'그린스위트': 0.5,'소금': 0.2,'무': 40,'고추냉이': 0.5,'식초': 4",김치,무,고추냉이
김치,R117_708000000-0001,적채피클,30,5.4405,0.3096,0.16164,0.88812,0.06795,9.045,6.3468,0.738,"'피클링스파이스': 0,'그린스위트': 1.5,'적양배추': 30,'식초': 3",피클,적양배추,식초
김치,R117_711000000-0001,파프리카피클,30,5.0505,0.1146,0.01794,1.24452,0.32025,3.375,28.251,0.018,"'피클링스파이스': 0,'그린스위트': 1.5,'파프리카(착색단고추)': 20,'파프리카(착색단고추)': 20,'식초': 3",피클,파프리카,식초
밥,D101-039000000-0001,찰밥,210,321.3,9.219,0.378,70.476,1.029,117.6,352.8,6.3,쌀': 90,밥류,쌀,
부수반찬,R107_352000000-0001,가지찜,100,53.96,0.965,3.02,6.1804,1.7786,15.11,62.04,17.92,"'미향': 5,'들기름': 3,'마늘': 2,'가지': 70",찜류,가지,
부수반찬,R107-310000000-0001,깻잎찜,100,5.32,0.4664,0.0526,1.0296,0.1246,8.5352,19.897,0.56,"'깻잎': 10,'당근': 2",찜류,깻잎,
부수반찬,R107_314000000-0001,꽈리고추찹쌀찜,100,64.04,1.3115,3.0828,8.2624,0.9963,12.31,50.49,1.66,"'참기름': 3,'마늘': 1,'꽈리고추': 50,'찹쌀가루': 5",찜류,꽈리고추,
