식품대분류명,대표식품명,카테고리
"곡류, 서류 제품",고구마,간식
"곡류, 서류 제품",팝콘,간식
과일류,과일,간식
구이류,가자미구이,반찬
구이류,갈비구이,반찬
구이류,갈치구이,반찬
구이류,고등어구이,반찬
구이류,곱창구이,반찬
구이류,김구이,반찬
구이류,꼬치구이,반찬
구이류,닭구이,반찬
구이류,닭발구이,반찬
구이류,떡갈비,반찬
구이류,런천미트구이,반찬
구이류,뱅어포구이,반찬
구이류,버섯구이,반찬
구이류,버섯구이표고버섯,반찬
구이류,삼겹살구이,반찬
구이류,삼치구이,반찬
구이류,새우구이,반찬
구이류,소불고기,반찬
구이류,스테이크,반찬
구이류,오리고기구이,반찬
구이류,오리불고기,반찬
구이류,장어구이,반찬
구이류,조개구이,반찬
구이류,조기구이,반찬
구이류,참치구이,반찬
구이류,치킨데리야끼,반찬
구이류,함박스테이크,반찬
구이류,갈매기살구이,반찬
구이류,곰장어구이,반찬
구이류,꿩불고기,반찬
구이류,닭튀김(치킨),반찬
구이류,대창구이,반찬
구이류,더덕구이,반찬
구이류,도미구이,반찬
구이류,돼지갈비구이,반찬
구이류,돼지껍데기구이,반찬
구이류,돼지불고기,반찬
구이류,막창구이,반찬
구이류,연어구이,반찬
구이류,오겹살구이,반찬
구이류,임연수구이,반찬
구이류,차돌박이구이,반찬
구이류,콘치즈구이,반찬
구이류,황태구이,반찬
구이류,훈제오리,반찬
구이류,굴비구이,반찬
구이류,꽁치구이,반찬
구이류,소내장구이,반찬
구이류,오리고기로스,반찬
구이류,옥돔구이,반찬
구이류,옥수수구이,반찬
구이류,전어구이,반찬
구이류,감자구이,반찬
구이류,닭날개구이,반찬
구이류,닭다리구이,반찬
국 및 탕류,갈비탕,국&찌개
국 및 탕류,감자국,국&찌개
국 및 탕류,곰탕,국&찌개
국 및 탕류,굴국,국&찌개
국 및 탕류,김치국,국&찌개
국 및 탕류,내장탕,국&찌개
국 및 탕류,냉국,국&찌개
국 및 탕류,달걀국,국&찌개
국 및 탕류,달걀탕,국&찌개
국 및 탕류,닭곰탕,국&찌개
국 및 탕류,도가니탕,국&찌개
국 및 탕류,된장국,국&찌개
국 및 탕류,무국,국&찌개
국 및 탕류,묵국,국&찌개
국 및 탕류,미역국,국&찌개
국 및 탕류,배추국,국&찌개
국 및 탕류,북어국,국&찌개
국 및 탕류,사골국,국&찌개
국 및 탕류,삼계탕,국&찌개
국 및 탕류,새우탕,국&찌개
국 및 탕류,설렁탕,국&찌개
