순위,식단 구성,식단 점수,칼로리,탄수화물,단백질,지방,나트륨,칼륨,인,당류
1,라볶이 200g,65.04,609.5kcal,113.29g (3.05),12.48g (4.96),11.79g (4.3),788.0mg (-9.85),2.61mg (-5.14),411.5mg (-5.76),158.0g (-1.52)
2,떡볶이 180g,61.59,600.7kcal,119.74g (2.3),13.14g (4.99),7.7g (4.95),869.8mg (-10),8.65mg (-4.38),350.7mg (-6.22),170.8g (-5.04)
3,고등어조림 100g,60.26,482.5kcal,77.11g (1),18.07g (4.5),11.21g (4.53),556.0mg (-6.95),4.12mg (-6.82),545.5mg (-8.6),236.0g (-2.4)
4,순대 220g,58.27,752.9kcal,151.62g (-3.27),12.87g (4.98),10.38g (4.78),1494.8mg (-10),3.79mg (-3.4),272.1mg (-7.62),209.0g (-2.21)
5,삼치조림 100g,56.81,466.5kcal,75.62g (1),22.7g (2.86),8.0g (4.98),607.0mg (-7.59),2.76mg (-7.83),626.5mg (-10),302.0g (-1.61)
6,아귀찜 200g,55.93,509.5kcal,87.53g (4.84),20.26g (3.86),8.63g (5.0),950.0mg (-10),6.19mg (-9.17),733.5mg (-10),306.0g (-3.61)
7,꽁치조림 100g,53.18,585.5kcal,78.15g (5.0),22.34g (3.03),20.24g (-4.25),516.0mg (-6.45),4.78mg (-6.37),509.5mg (-10),291.0g (-2.79)
8,낙지볶음 200g,52.67,523.5kcal,90.21g (4.75),18.36g (4.43),9.91g (4.88),1240.0mg (-10),16.55mg (-7.92),633.5mg (-8.82),242.0g (-9.65)
9,만두_고기만두 220g,51.41,691.3kcal,111.29g (3.26),34.06g (-5),12.16g (4.13),619.2mg (-7.74),1.08mg (-7.61),608.7mg (-10),345.4g (-0.63)
10,갈비찜_소고기 300g,51.25,596.5kcal,93.86g (4.59),28.57g (-0.85),11.88g (4.26),982.0mg (-10),2.98mg (-10),952.5mg (-10),307.0g (-1.74)
